Tollo comune,Tollo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,"Angelo Radica (lista civica ""Progetto Tollo"") dal 7-5-2012 (3º mandato dal 13-6-2022)"
Territorio,Territorio
Coordinate,42°20′43.51″N 14°19′24.96″E
Altitudine,152 m s.l.m.
Superficie,"14,96 km²"
Abitanti,3 859[1] (30-11-2025)
Densità,"257,95 ab./km²"
Frazioni,"Colle, Colle Cavalieri, Colle della Signora, Colle Secco, Macchie, Motrino, Pedine, Piana Mozzone, Sabatiniello, San Pietro, Santa Lucia, Venna"
Comuni confinanti,"Canosa Sannita, Crecchio, Giuliano Teatino, Miglianico, Ortona"
Altre informazioni,Altre informazioni
Cod. postale,66010
Prefisso,0871
Fuso orario,UTC+1
Codice ISTAT,069090
Cod. catastale,L194
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 424 GG[3]"
Nome abitanti,tollesi
Patrono,"Santa Maria del Rosario, san Pasquale, santa Marina, san Rocco, santa Lucia"
Giorno festivo,"1ª domenica di agosto, 17 maggio, 17 luglio, 16 agosto, 13 dicembre"
PIL,"(nominale) 56,4 mln € (2021)[4]"
PIL procapite,(nominale) 14 444 € (2021)[4]
Cartografia,Cartografia
Tollo,Tollo
Tollo – MappaPosizione del comune di Tollo all'interno della provincia di Chieti,Tollo – MappaPosizione del comune di Tollo all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
