San Giovanni Teatino comune,San Giovanni Teatino comune.1
,
San Giovanni Teatino – VedutaLa sede comunale a Sambuceto,San Giovanni Teatino – VedutaLa sede comunale a Sambuceto
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Giorgio Di Clemente[1] (lista civica di centro-destra Giorgio Sindaco) dal 5-10-2021
Territorio,Territorio
Coordinate,42°25′20″N 14°11′12″E
Altitudine,145 m s.l.m.
Superficie,"18,19 km²"
Abitanti,14 552[2] (30-11-2025)
Densità,800 ab./km²
Frazioni,"Sambuceto, Dragonara, Fontechiaro da Capo[3]"
Comuni confinanti,"Cepagatti (PE), Chieti, Francavilla al Mare, Pescara (PE), Spoltore (PE), Torrevecchia Teatina"
Altre informazioni,Altre informazioni
Cod. postale,66020
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,069081
Cod. catastale,D690
Targa,CH
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona D, 1 735 GG[5]"
Nome abitanti,san giovannesi
Patrono,"San Vincenzo Ferreri a San Giovanni, San Rocco a Sambuceto"
Giorno festivo,"prima metà di settembre per San Vincenzo Ferreri, 16 agosto per San Rocco"
PIL,"(nominale) 259,1 mln € (2021)[6]"
PIL procapite,"(nominale) 18 172,3 € (2021)[6]"
Cartografia,Cartografia
San Giovanni Teatino,San Giovanni Teatino
San Giovanni Teatino – MappaPosizione del comune di San Giovanni Teatino all'interno della provincia di Chieti.,San Giovanni Teatino – MappaPosizione del comune di San Giovanni Teatino all'interno della provincia di Chieti.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
