Gissi comune,Gissi comune.1
,
Gissi – Veduta,Gissi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Agostino Chieffo[1] (lista civica di centro-destra Patto per Gissi) dal 27-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,42°01′N 14°33′E
Altitudine,499 m s.l.m.
Superficie,"36,65 km²"
Abitanti,2 406[2] (30-11-2025)
Densità,"65,65 ab./km²"
Frazioni,"Peschiola, Pianospedale, Pianquerceto, Rosario, Tratturo"
Comuni confinanti,"Atessa, Carpineto Sinello, Casalanguida, Furci, Monteodorisio, San Buono, Scerni"
Altre informazioni,Altre informazioni
Cod. postale,66052
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069041
Cod. catastale,E052
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 945 GG[4]"
Nome abitanti,Gissani
Patrono,san Bernardino da Siena
Giorno festivo,20 maggio
Cartografia,Cartografia
Gissi,Gissi
Gissi – MappaPosizione del comune di Gissi all'interno della provincia di Chieti,Gissi – MappaPosizione del comune di Gissi all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
