Tufillo comune,Tufillo comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Ernano Marcovecchio (lista civica Scelte partecipate) dal 6-6-2016
Territorio,Territorio
Coordinate,41°55′N 14°37′E
Altitudine,578 m s.l.m.
Superficie,"21,44 km²"
Abitanti,308[1] (30-11-2025)
Densità,"14,37 ab./km²"
Comuni confinanti,"Celenza sul Trigno, Dogliola, Mafalda (CB), Montemitro (CB), Palmoli, San Felice del Molise (CB)"
Altre informazioni,Altre informazioni
Cod. postale,66050
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069097
Cod. catastale,L459
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 2 063 GG[3]"
Nome abitanti,tufillesi
Patrono,san Vito santa Giusta
Giorno festivo,15 giugno
Cartografia,Cartografia
Tufillo,Tufillo
Tufillo – MappaPosizione del comune di Tufillo all'interno della provincia di Chieti,Tufillo – MappaPosizione del comune di Tufillo all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
