Archi comune,Archi comune.1
,
Archi – Veduta,Archi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Nicola De Laurentis dal 03-10-2021
Territorio,Territorio
Coordinate,42°05′N 14°23′E
Altitudine,492 m s.l.m.
Superficie,"28,54 km²"
Abitanti,1 928[1] (30-11-2025)
Densità,"67,55 ab./km²"
Frazioni,"Caduna, Canala, Cannella, Colle della Guardia, Colle Verri, Fara d'Archi, Fonte Ciccone, Fonte Cittadone, Fonte Maggiore, Grotte, Isca d'Archi, Macchie Pianello, Montagna, Piane d'Archi, Pianello, Rascitti, Rongiuna, Ruscitelli, San Luca, Sant'Amico, Solagne, Valle Franceschelli, Zainello"
Comuni confinanti,"Altino, Atessa, Bomba, Perano, Roccascalegna, Tornareccio"
Altre informazioni,Altre informazioni
Cod. postale,66044
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069002
Cod. catastale,A367
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 889 GG[3]"
Nome abitanti,archesi
Patrono,san Vitale
Giorno festivo,28 aprile
Cartografia,Cartografia
Archi,Archi
Archi – MappaPosizione del comune di Archi all'interno della provincia di Chieti,Archi – MappaPosizione del comune di Archi all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
