Atessa comune,Atessa comune.1
,
Atessa – Veduta,Atessa – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Giulio Borrelli (lista civica Uniti per Atessa) dal 12-6-2017 (2º mandato dal 13-6-2022)
Territorio,Territorio
Coordinate,42°04′N 14°27′E
Altitudine,435 m s.l.m.
Superficie,"110,98 km²"
Abitanti,10 195[1] (30-11-2025)
Densità,"91,86 ab./km²"
Frazioni,vedi elenco frazioni
Comuni confinanti,"Altino, Archi, Bomba, Carpineto Sinello, Casalanguida, Casalbordino, Colledimezzo, Gissi, Guilmi, Lanciano, Montazzoli, Paglieta, Perano, Pollutri, Sant'Eusanio del Sangro, Scerni, Tornareccio, Villa Santa Maria"
Altre informazioni,Altre informazioni
Cod. postale,66041
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069005
Cod. catastale,A485
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 846 GG[3]"
Nome abitanti,atessani
Patrono,san Leucio
Giorno festivo,11 gennaio
PIL,"(nominale) 180,4 mln € (2021)[4]"
PIL procapite,(nominale) 17 290 € (2021)[4]
Cartografia,Cartografia
Atessa,Atessa
Atessa – MappaPosizione del comune di Atessa all'interno della provincia di Chieti,Atessa – MappaPosizione del comune di Atessa all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
