Torino di Sangro comune,Torino di Sangro comune.1
,
Torino di Sangro – VedutaPanorama di Torino di Sangro,Torino di Sangro – VedutaPanorama di Torino di Sangro
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Nino Di Fonso (lista civica Torino di Sangro nel cuore) dal 10-6-2018
Territorio,Territorio
Coordinate,42°11′N 14°32′E
Altitudine,164 m s.l.m.
Superficie,"32,12 km²"
Abitanti,2 923[1] (30-11-2025)
Densità,91 ab./km²
Frazioni,"Borgata Marina, Campogrande, Capriccio, Carriera, Cavone, Civita, Colle Forche, Colle Meschino, Colle Termine, Collelongo, Defenza, Fonte Stefano, Lago Dragoni, Le Morge, Lentesco, Montesecco, Morticcio, Palude, Petrino, Piana di Sangro, Piana di Sodero, Piana San Tommaso, Quaglialatte, Quarticelli, Ruzzo, Saletti, Sant'Angelo, Schiavonesco, Sentinella, Suvaro, Uomoli, Valle Caterina, Vallebruna, Vallone di Nanni, Vignestrutte"
Comuni confinanti,"Casalbordino, Fossacesia, Paglieta, Villalfonsina"
Altre informazioni,Altre informazioni
Cod. postale,66020
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069091
Cod. catastale,L218
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 442 GG[3]"
Nome abitanti,torinesi
Patrono,Maria S.S. di Loreto
Giorno festivo,lunedì successivo all'ultima domenica di maggio
Cartografia,Cartografia
Torino di Sangro,Torino di Sangro
Torino di Sangro – MappaPosizione del comune di Torino di Sangro all'interno della provincia di Chieti,Torino di Sangro – MappaPosizione del comune di Torino di Sangro all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
