Ortona comune,Ortona comune.1
,
Ortona – Veduta,Ortona – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Angelo Di Nardo (FdI) dal 9-6-2025
Territorio,Territorio
Coordinate,42°21′20.37″N 14°24′12.94″E
Altitudine,72 m s.l.m.
Superficie,"70,88 km²"
Abitanti,21 909[1] (30-11-2025)
Densità,"309,1 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Crecchio, Francavilla al Mare, Frisa, Miglianico, San Vito Chietino, Tollo"
Altre informazioni,Altre informazioni
Cod. postale,66026
Prefisso,085
Fuso orario,UTC+1
Codice ISTAT,069058
Cod. catastale,G141
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 298 GG[3]"
Nome abitanti,ortonesi
Patrono,san Tommaso apostolo
Giorno festivo,prima domenica di maggio
PIL,"(nominale) 397,6 mln € (2021)[4]"
PIL procapite,"(nominale) 17 882,6 € (2021)[4]"
Motto,"(LA) Ortona Civitas Vetustissima ""Ortona città antichissima"""
Cartografia,Cartografia
Ortona,Ortona
Ortona – MappaPosizione del comune di Ortona all'interno della provincia di Chieti,Ortona – MappaPosizione del comune di Ortona all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
