Palmoli comune,Palmoli comune.1
,
Palmoli – VedutaIl castello marchesale di Palmoli,Palmoli – VedutaIl castello marchesale di Palmoli
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Giuseppe Rosario Masciulli[1] (lista civica di centro-sinistra Rinnovamento) dal 26-5-2014 (3º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,41°56′22″N 14°34′53″E
Altitudine,727 m s.l.m.
Superficie,"32,78 km²"
Abitanti,853[2] (30-11-2025)
Densità,"26,02 ab./km²"
Frazioni,"Fonte La Casa, Immerse[3]"
Comuni confinanti,"Carunchio, Celenza sul Trigno, Dogliola, Fresagrandinaria, Furci, Liscia, San Buono, Tufillo"
Altre informazioni,Altre informazioni
Cod. postale,66050
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069061
Cod. catastale,G290
Targa,CH
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona E, 2 334 GG[5]"
Nome abitanti,palmolesi
Patrono,san Valentino
Giorno festivo,14 febbraio
PIL,(nominale) 8 mln € (2022)[6]
PIL procapite,(nominale) 13 777 € (2022)[6]
Cartografia,Cartografia
Palmoli,Palmoli
Palmoli – MappaPosizione del comune di Palmoli all'interno della provincia di Chieti,Palmoli – MappaPosizione del comune di Palmoli all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
