Crecchio comune,Crecchio comune.1
,
Crecchio – VedutaLa Chiesa di San Salvatore ed il Castello Ducale.,Crecchio – VedutaLa Chiesa di San Salvatore ed il Castello Ducale.
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Nicolino Di Paolo (Lista civica) dall'8-6-2009 (4º mandato dal 9-6-2024)
Data di istituzione,1861 come comune del Regno d'Italia
Territorio,Territorio
Coordinate,42°17′48″N 14°19′34″E
Altitudine,209 m s.l.m.
Superficie,"19,23 km²"
Abitanti,2 549[1] (30-11-2025)
Densità,"132,55 ab./km²"
Frazioni,"Casino Vezzani, Casone, San Polo, Santa Maria Cardetola, Vassarella, Via Piana, Villa Baccile, Villa Consalvi, Villa Formicone, Villa Marcone, Villa Mascitti, Villa Mucchiarelli, Villa Selciaroli, Villa Tucci."
Comuni confinanti,"Arielli, Canosa Sannita, Frisa, Ortona, Poggiofiorito, Tollo"
Altre informazioni,Altre informazioni
Cod. postale,66014
Prefisso,0871
Fuso orario,UTC+1
Codice ISTAT,069027
Cod. catastale,D137
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 554 GG[3]"
Nome abitanti,crecchiesi
Patrono,Sant'Elisabetta
Giorno festivo,ultima domenica di agosto
Cartografia,Cartografia
Crecchio,Crecchio
Crecchio – MappaPosizione del comune di Crecchio all'interno della provincia di Chieti,Crecchio – MappaPosizione del comune di Crecchio all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
