Pennapiedimonte comune,Pennapiedimonte comune.1
,
Pennapiedimonte – VedutaVista del paese sul costone orientale della Maiella,Pennapiedimonte – VedutaVista del paese sul costone orientale della Maiella
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Rosalina Di Giorgio dal 12-6-2022
Territorio,Territorio
Coordinate,42°09′07.53″N 14°11′41.19″E
Altitudine,669 m s.l.m.
Superficie,"47,03 km²"
Abitanti,369[1] (30-11-2025)
Densità,"7,85 ab./km²"
Frazioni,"Capolegrotti, Coste Aranciata, Colli, Coste dei Colli, Defenza, Fontana, Laio, Pisavini, Raiese, San Giovanni, Vicende"
Comuni confinanti,"Caramanico Terme (PE), Fara San Martino, Guardiagrele, Casoli, Palombaro, Pretoro, Rapino, Roccamorice (PE)"
Altre informazioni,Altre informazioni
Cod. postale,66010
Prefisso,0871
Fuso orario,UTC+1
Codice ISTAT,069064
Cod. catastale,G435
Targa,CH
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 200 GG[3]"
Nome abitanti,pennesi
Patrono,Santa Brigida Vergine
Giorno festivo,"dal 17 al 19 agosto. Santa Brigida Vergine (17 agosto), Sant’Antonio di Padova (18 agosto) e San Rocco (19 agosto). Il 16 agosto si tiene la messa in onore di Maria Madre del Buon Cammino in località Fonte Gallo"
PIL,(nominale) 8 mln €[4]
PIL procapite,(nominale) 15 894 €[4]
Cartografia,Cartografia
Pennapiedimonte,Pennapiedimonte
Pennapiedimonte – MappaPosizione del comune di Pennapiedimonte all'interno della provincia di Chieti,Pennapiedimonte – MappaPosizione del comune di Pennapiedimonte all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
