Pizzoferrato comune,Pizzoferrato comune.1
,
Pizzoferrato – VedutaVeduta di Pizzoferrato,Pizzoferrato – VedutaVeduta di Pizzoferrato
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,"Palmerino Fagnilli (lista civica ""Pizzoferrato nel cuore"") dal 27-5-2013 (3º mandato dal 15-5-2023)"
Territorio,Territorio
Coordinate,41°55′N 14°14′E
Altitudine,1 251 m s.l.m.
Superficie,"30,92 km²"
Abitanti,950[1] (30-11-2025)
Densità,"30,72 ab./km²"
Frazioni,"Castiglione, Collalto, Turchi, Valle del Sole"
Comuni confinanti,"Civitaluparella, Gamberale, Montenerodomo, Quadri, Sant'Angelo del Pesco (IS)"
Altre informazioni,Altre informazioni
Cod. postale,66040
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069066
Cod. catastale,G724
Targa,CH
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona F, 3 073 GG[3]"
Nome abitanti,pizzoferratesi
Patrono,san Domenico
Giorno festivo,4 agosto
Cartografia,Cartografia
Pizzoferrato,Pizzoferrato
Pizzoferrato – MappaPosizione del comune di Pizzoferrato all'interno della provincia di Chieti,Pizzoferrato – MappaPosizione del comune di Pizzoferrato all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
