Fossacesia comune,Fossacesia comune.1
,
Fossacesia – VedutaLa frazione di Fossacesia Marina vista da S. Giovanni in Venere.,Fossacesia – VedutaLa frazione di Fossacesia Marina vista da S. Giovanni in Venere.
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Enrico Di Giuseppantonio (UdC) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,42°15′N 14°29′E
Altitudine,142 m s.l.m.
Superficie,"30,14 km²"
Abitanti,6 259[1] (30-11-2025)
Densità,"207,66 ab./km²"
Frazioni,"Bardascillo, Campidoglio, Caporale, Casone, Chiusa Piccola, Colle Cannizza, Colle Castagna, Colle Pecorai, La Penna, Masseria, Fossacesia Marina, Pistoleto, San Martino, Sterpari, Strutto, Villa Scorciosa, Piano del Signore, Piano Madonna, Piano Favaro, Pietre Nere, Pratoli."
Comuni confinanti,"Lanciano, Mozzagrogna, Paglieta, Rocca San Giovanni, Santa Maria Imbaro, Torino di Sangro"
Altre informazioni,Altre informazioni
Cod. postale,66022
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069033
Cod. catastale,D738
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 406 GG[3]"
Nome abitanti,fossacecati
Patrono,san Donato
Giorno festivo,7 agosto
PIL,"(nominale) 96,3 mln €[4]"
PIL procapite,(nominale) 15 447 €[4]
Cartografia,Cartografia
Fossacesia,Fossacesia
Fossacesia – MappaPosizione del comune di Fossacesia all'interno della provincia di Chieti,Fossacesia – MappaPosizione del comune di Fossacesia all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
