Liscia comune,Liscia comune.1
,
Liscia – Veduta,Liscia – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Antonio Di Santo (lista civica Tutti per Liscia) dal 25-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°57′18.86″N 14°33′19.15″E
Altitudine,740 m s.l.m.
Superficie,"8,18 km²"
Abitanti,624[1] (30-11-2025)
Densità,"76,28 ab./km²"
Comuni confinanti,"Carpineto Sinello, Carunchio, Palmoli, San Buono"
Altre informazioni,Altre informazioni
Cod. postale,66050
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069049
Cod. catastale,E611
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 353 GG[3]"
Nome abitanti,lisciani
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre 8 maggio
PIL,(nominale) 12 mln €[4]
PIL procapite,(nominale) 16 239 €[4]
Cartografia,Cartografia
Liscia,Liscia
Liscia – MappaPosizione del comune di Liscia all'interno della provincia di Chieti,Liscia – MappaPosizione del comune di Liscia all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
