Bucchianico comune,Bucchianico comune.1
,
Bucchianico – Veduta,Bucchianico – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Renzo di lizio (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,42°18′15.7″N 14°10′50.02″E
Altitudine,330[1] m s.l.m.
Superficie,"38,08 km²"
Abitanti,4 902[2] (30-11-2025)
Densità,"128,73 ab./km²"
Frazioni,"Annunziata, Cacciotoli, Campo di Roma, Casoni, Cervinelli, Cese, Chiaramilla, Colle Cucco, Colle dei Gesuiti, Colle Marconi, Colle Sant'Antonio, Colle Spaccato, Feudo, Fonte Pietra, Iconicella, Penninoli, Porcareccia, Pozzo Nuovo, Pubbliconi, San Leonardo, San Martino Tella, Santa Maria Casoria, Santa Maria Maggiore."
Comuni confinanti,"Casacanditella, Casalincontrada, Chieti, Fara Filiorum Petri, Ripa Teatina, Roccamontepiano, Vacri, Villamagna"
Altre informazioni,Altre informazioni
Cod. postale,66011
Prefisso,0871
Fuso orario,UTC+1
Codice ISTAT,069008
Cod. catastale,B238
Targa,CH
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 753 GG[4]"
Nome abitanti,bucchianichesi
Patrono,"papa Urbano, papa e martire san Camillo de Lellis sant'Aldemaro di Capua"
Giorno festivo,15 luglio
Cartografia,Cartografia
Bucchianico,Bucchianico
Bucchianico – MappaPosizione del comune di Bucchianico all'interno della provincia di Chieti,Bucchianico – MappaPosizione del comune di Bucchianico all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
