Fresagrandinaria comune,Fresagrandinaria comune.1
,
Fresagrandinaria – Veduta,Fresagrandinaria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Lino Giangiacomo (lista civica Nuova vita per Fresa) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°59′N 14°40′E
Altitudine,391 m s.l.m.
Superficie,"25,15 km²"
Abitanti,913[1] (30-11-2025)
Densità,"36,3 ab./km²"
Frazioni,"Guardiola, Pagliarini, Pantano, Pidocchiosa"
Comuni confinanti,"Cupello, Dogliola, Furci, Lentella, Mafalda (CB), Palmoli, San Buono"
Altre informazioni,Altre informazioni
Cod. postale,66050
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069036
Cod. catastale,D796
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 783 GG[3]"
Nome abitanti,fresani
Patrono,Madonna Grande
Giorno festivo,mercoledì dopo Pentecoste
Cartografia,Cartografia
Fresagrandinaria,Fresagrandinaria
Fresagrandinaria – MappaPosizione del comune di Fresagrandinaria all'interno della provincia di Chieti,Fresagrandinaria – MappaPosizione del comune di Fresagrandinaria all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
