Perano comune,Perano comune.1
,
Perano – Veduta,Perano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Gianni Bellisario (lista civica Perano nuova) dall'8-6-2009
Territorio,Territorio
Coordinate,42°06′N 14°24′E
Altitudine,256 m s.l.m.
Superficie,"6,48 km²"
Abitanti,1 468[1] (30-11-2025)
Densità,"226,54 ab./km²"
Frazioni,"Barbetti, Cerraiolo, Crocetta, Fontolfi, Impicciaturo, Maligni, Pugliesi, Quadroni, San Pastore, San Tommaso, Sciorilli, Tomassuoli, Tramozzini, Pozzo Nuovo, Cicurijell."
Comuni confinanti,"Altino, Archi, Atessa"
Altre informazioni,Altre informazioni
Cod. postale,66040
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069065
Cod. catastale,G441
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 556 GG[3]"
Nome abitanti,peranesi
Patrono,san Filippo Neri
Giorno festivo,26 maggio
Cartografia,Cartografia
Perano,Perano
Perano – MappaPosizione del comune di Perano all'interno della provincia di Chieti,Perano – MappaPosizione del comune di Perano all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
