San Buono comune,San Buono comune.1
,
San Buono – VedutaVeduta del paese,San Buono – VedutaVeduta del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Nicola Zerra[1] (lista civica di centro-destra Alternativa per San Buono) dal 27-5-2019
Territorio,Territorio
Coordinate,41°59′N 14°34′E
Altitudine,470 m s.l.m.
Superficie,"25,27 km²"
Abitanti,837[2] (30-11-2025)
Densità,"33,12 ab./km²"
Frazioni,"Pantano, Sodere, Vusco[3]"
Comuni confinanti,"Carpineto Sinello, Fresagrandinaria, Furci, Gissi, Liscia, Palmoli"
Altre informazioni,Altre informazioni
Cod. postale,66050
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069079
Cod. catastale,H784
Targa,CH
Cl. sismica,zona 2 (sismicità media)[4]
Cl. climatica,"zona D, 1 901 GG[5]"
Nome abitanti,sanbuonesi
Patrono,"san Buono, san Lorenzo"
Giorno festivo,10 e 11 agosto
PIL,(nominale) 9 mln € (2022)[6]
PIL procapite,(nominale) 14 659 € (2022)[6]
Inno,Sant Bune mè[7]
Cartografia,Cartografia
San Buono,San Buono
San Buono – MappaPosizione del comune di San Buono all'interno della provincia di Chieti,San Buono – MappaPosizione del comune di San Buono all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
