Monteferrante comune,Monteferrante comune.1
,
Monteferrante – Veduta,Monteferrante – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Patrizia D'Ottavio (lista civica Per Monteferrante) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,41°57′N 14°23′E
Altitudine,800 m s.l.m.
Superficie,"15,29 km²"
Abitanti,101[1] (30-11-2025)
Densità,"6,61 ab./km²"
Comuni confinanti,"Castiglione Messer Marino, Colledimezzo, Montazzoli, Pietraferrazzana, Roio del Sangro, Villa Santa Maria"
Altre informazioni,Altre informazioni
Cod. postale,66040
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069052
Cod. catastale,F498
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,monteferrantesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Monteferrante,Monteferrante
Monteferrante – MappaPosizione del comune di Monteferrante all'interno della provincia di Chieti,Monteferrante – MappaPosizione del comune di Monteferrante all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
