Pennadomo comune,Pennadomo comune.1
,
Pennadomo – Veduta,Pennadomo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Nicola Frattura (lista civica pennadomo rinasce) dal 12-06-2022
Territorio,Territorio
Coordinate,42°00′N 14°19′E
Altitudine,460 m s.l.m.
Superficie,"11,02 km²"
Abitanti,198[1] (30-11-2025)
Densità,"17,97 ab./km²"
Comuni confinanti,"Bomba, Civitaluparella, Montebello sul Sangro, Montenerodomo, Torricella Peligna, Villa Santa Maria"
Altre informazioni,Altre informazioni
Cod. postale,66040
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069063
Cod. catastale,G434
Targa,CH
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 841 GG[3]"
Nome abitanti,pennadomesi
Patrono,San Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Pennadomo,Pennadomo
Pennadomo – MappaPosizione del comune di Pennadomo all'interno della provincia di Chieti,Pennadomo – MappaPosizione del comune di Pennadomo all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
