Mozzagrogna comune,Mozzagrogna comune.1
,
Mozzagrogna – Veduta,Mozzagrogna – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Domenico Cianfrone (lista civica Viviamo il territorio) dal 10-6-2024
Territorio,Territorio
Coordinate,42°12′41″N 14°26′45″E
Altitudine,223 m s.l.m.
Superficie,"13,71 km²"
Abitanti,2 422[1] (30-11-2025)
Densità,"176,66 ab./km²"
Frazioni,"Castel di Sette, Castelli, Cavezza, Colle Ruzzo, Cornice, Cuna Re di Coppe, Fonte della Noce, Lucianetti, Ponticelli, Rosciavizza, Villa Romagnoli"
Comuni confinanti,"Fossacesia, Lanciano, Paglieta, Santa Maria Imbaro"
Altre informazioni,Altre informazioni
Cod. postale,66030
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069056
Cod. catastale,F785
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 575 GG[3]"
Nome abitanti,mozzagrognesi
Patrono,san Rocco
Giorno festivo,16 agosto
Cartografia,Cartografia
Mozzagrogna,Mozzagrogna
Mozzagrogna – MappaPosizione del comune di Mozzagrogna all'interno della provincia di Chieti,Mozzagrogna – MappaPosizione del comune di Mozzagrogna all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
