Civitella Messer Raimondo comune,Civitella Messer Raimondo comune.1
,
Civitella Messer Raimondo – Veduta,Civitella Messer Raimondo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Danilo D'Orazio (lista civica Casa Civitella) dal 27-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,42°05′N 14°13′E
Altitudine,613 m s.l.m.
Superficie,"12,72 km²"
Abitanti,739[1] (30-11-2025)
Densità,"58,1 ab./km²"
Frazioni,"Calazzotto, Colle San Leonardo, Forconi, Gallo, La Fonte, Laruccia, La Selva, Piano Risorgimento, Vicenne"
Comuni confinanti,"Casoli, Fara San Martino, Gessopalena, Lama dei Peligni, Palombaro"
Altre informazioni,Altre informazioni
Cod. postale,66010
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069024
Cod. catastale,C776
Targa,CH
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 116 GG[3]"
Nome abitanti,civitellesi
Patrono,sant'Erasmo
Giorno festivo,2 giugno
Cartografia,Cartografia
Civitella Messer Raimondo,Civitella Messer Raimondo
Civitella Messer Raimondo – MappaPosizione del comune di Civitella Messer Raimondo all'interno della provincia di Chieti,Civitella Messer Raimondo – MappaPosizione del comune di Civitella Messer Raimondo all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
