Chieti comune,Chieti comune.1
,
Chieti – VedutaIl centro storico,Chieti – VedutaIl centro storico
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Diego Ferrara (PD) dall'8-10-2020
Territorio,Territorio
Coordinate,42°21′04.01″N 14°10′02.74″E
Altitudine,330 m s.l.m.
Superficie,"59,57 km²"
Abitanti,48 398[1] (30-11-2025)
Densità,"812,46 ab./km²"
Frazioni,Vedi elenco
Comuni confinanti,"Bucchianico, Casalincontrada, Cepagatti (PE), Francavilla al Mare, Manoppello (PE), Pescara (PE), Ripa Teatina, Rosciano (PE), San Giovanni Teatino, Torrevecchia Teatina"
Altre informazioni,Altre informazioni
Cod. postale,66100
Prefisso,0871
Fuso orario,UTC+1
Codice ISTAT,069022
Cod. catastale,C632
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 556 GG[3]"
Nome abitanti,"chietini, teatini"
Patrono,san Giustino di Chieti
Giorno festivo,11 maggio
PIL,"(nominale) 978,5 mln € (2021)[4]"
PIL procapite,"(nominale) 20 122,3 € (2021)[4]"
Motto,"Teate Regia Metropolis utriusque Aprutinae Provinciae Princeps ""Chieti città regia e capoluogo di entrambe le province degli Abruzzi"""
Cartografia,Cartografia
Chieti,Chieti
Chieti – MappaPosizione del comune di Chieti all'interno dell'omonima provincia,Chieti – MappaPosizione del comune di Chieti all'interno dell'omonima provincia
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
