Vasto comune,Vasto comune.1
,
Vasto – VedutaVeduta del centro storico e della Piazza Gabriele Rossetti dalla torre della chiesa di Santa Maria Maggiore,Vasto – VedutaVeduta del centro storico e della Piazza Gabriele Rossetti dalla torre della chiesa di Santa Maria Maggiore
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Francesco Menna (Partito Democratico) dal 19-6-2016 (2º mandato dal 19-10-2021)
Territorio,Territorio
Coordinate,42°06′41.72″N 14°42′29.59″E
Altitudine,144 m s.l.m.
Superficie,"71,35 km²"
Abitanti,40 934[1] (30-11-2025)
Densità,"573,71 ab./km²"
Frazioni,"Difenza, Incoronata, Lebba, Montevecchio, Pagliarelli, Piana di Marco, Pozzitello, Punta Penna, San Biagio, Codalfa, San Lorenzo, San Nicola, Sant'Antonio Abate, San Tommaso, Vasto Marina, Vignola, Casarza, Villa De Nardis, Zimarino"
Comuni confinanti,"Casalbordino, Cupello, Monteodorisio, Pollutri, San Salvo"
Altre informazioni,Altre informazioni
Cod. postale,66054
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069099
Cod. catastale,E372
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 451 GG[3]"
Nome abitanti,vastesi
Patrono,san Michele Arcangelo
Giorno festivo,29 settembre
PIL,"(nominale) 760,3 mln € (2021)[4]"
PIL procapite,"(nominale) 18 805,4 € (2021)[4]"
Soprannome,Atene degli Abruzzi[5]
Motto,"(LA) Vastum Olim Histonium Romanum Municipium ""Vasto, antica Histonium, municipio romano"""
Cartografia,Cartografia
Vasto,Vasto
Vasto – MappaPosizione del comune di Vasto all'interno della provincia di Chieti,Vasto – MappaPosizione del comune di Vasto all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
