San Vito Chietino comune,San Vito Chietino comune.1
,
San Vito Chietino – VedutaScorcio del paese di San Vito Chietino,San Vito Chietino – VedutaScorcio del paese di San Vito Chietino
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,"Emiliano Bozzelli (lista civica ""San Vito Bene Comune"") dall'11-6-2017 (primo mandato) 12-06-2022 inizio secondo mandato"
Territorio,Territorio
Coordinate,42°18′N 14°27′E
Altitudine,122 m s.l.m.
Superficie,17 km²
Abitanti,5 067[1] (30-11-2025)
Densità,"298,06 ab./km²"
Frazioni,"Anticaglia, Balsamate, Bufara, Castellana, Cese, Cintioni, Colle Capuano, Foresta, Mancini, Marina di San Vito, Melogranato, Murata Alta, Murata Bassa, Paolini, Passo Tucci, Pontoni, Portelle, Quercia del Corvo, Rapanice, Renazzo, San Fino, San Rocco Vecchio, Sant'Apollinare, Sciutico, Strutte, Valle Ienno, Vicende"
Comuni confinanti,"Frisa, Lanciano, Ortona, Rocca San Giovanni, Treglio"
Altre informazioni,Altre informazioni
Cod. postale,66038
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069086
Cod. catastale,I394
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona C, 1 379 GG[3]"
Nome abitanti,sanvitesi
Patrono,san Vito
Giorno festivo,15 giugno
PIL,"(nominale) 87,1 mln €[4]"
PIL procapite,(nominale) 16 876 €[4]
Cartografia,Cartografia
San Vito Chietino,San Vito Chietino
San Vito Chietino – MappaPosizione del comune di San Vito Chietino all'interno della provincia di Chieti,San Vito Chietino – MappaPosizione del comune di San Vito Chietino all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
