Gessopalena comune,Gessopalena comune.1
,
Gessopalena – VedutaIl paese vecchio di Gessopalena,Gessopalena – VedutaIl paese vecchio di Gessopalena
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Mario Zulli (lista civica Siamo Gessopalena) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,42°03′N 14°16′E
Altitudine,654 m s.l.m.
Superficie,"31,47 km²"
Abitanti,1 136[1] (30-11-2025)
Densità,"36,1 ab./km²"
Frazioni,"Castellana, Coccioli, Colle Mazzetta, Contrada Rossi, Isolina, Macchie, Pastini, Mandrini, Morgia del Pesco, Piano Mazzetta, Pincianesi, Riguardata, San Biagio Silvilini, Santa Croce, Valloni Cucco"
Comuni confinanti,"Casoli, Civitella Messer Raimondo, Lama dei Peligni, Roccascalegna, Torricella Peligna"
Altre informazioni,Altre informazioni
Cod. postale,66010
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069040
Cod. catastale,D996
Targa,CH
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona E, 2 162 GG[3]"
Nome abitanti,gessani
Patrono,san Valentino
Giorno festivo,14 febbraio
Cartografia,Cartografia
Gessopalena,Gessopalena
Gessopalena – MappaPosizione del comune di Gessopalena all'interno della provincia di Chieti,Gessopalena – MappaPosizione del comune di Gessopalena all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
