Colledimacine comune,Colledimacine comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Andrea Schina[1] (lista civica Insieme per Colledimacine) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°00′N 14°12′E
Altitudine,770 m s.l.m.
Superficie,"11,3 km²"
Abitanti,149[2] (30-11-2025)
Densità,"13,19 ab./km²"
Comuni confinanti,"Lama dei Peligni, Lettopalena, Montenerodomo, Taranta Peligna, Torricella Peligna"
Altre informazioni,Altre informazioni
Cod. postale,66010
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069025
Cod. catastale,C855
Targa,CH
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 351 GG[4]"
Nome abitanti,colledimacinesi
Patrono,san Mariano
Giorno festivo,11 agosto
Cartografia,Cartografia
Colledimacine,Colledimacine
Colledimacine – MappaPosizione del comune di Colledimacine all'interno della provincia di Chieti,Colledimacine – MappaPosizione del comune di Colledimacine all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
