Civitaluparella comune,Civitaluparella comune.1
,
Civitaluparella – Veduta,Civitaluparella – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Diana Peschi (lista civica Scegliamo Civita) dal 9-6-2024
Territorio,Territorio
Coordinate,41°57′N 14°18′E
Altitudine,903 m s.l.m.
Superficie,"22,46 km²"
Abitanti,275[1] (30-11-2025)
Densità,"12,24 ab./km²"
Comuni confinanti,"Borrello, Fallo, Montebello sul Sangro, Montelapiano, Montenerodomo, Pennadomo, Pizzoferrato, Quadri"
Altre informazioni,Altre informazioni
Cod. postale,66040
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069023
Cod. catastale,C768
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 551 GG[3]"
Nome abitanti,civitaresi
Patrono,"san Pietro, sant'Antonio"
Giorno festivo,16 agosto
Cartografia,Cartografia
Civitaluparella,Civitaluparella
Civitaluparella – MappaPosizione del comune di Civitaluparella all'interno della provincia di Chieti,Civitaluparella – MappaPosizione del comune di Civitaluparella all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
