Torrebruna comune,Torrebruna comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Francesco Troilo[1] (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,41°52′N 14°32′E
Altitudine,845 m s.l.m.
Superficie,"23,29 km²"
Abitanti,640[2] (30-11-2025)
Densità,"27,48 ab./km²"
Frazioni,Guardiabruna
Comuni confinanti,"Carunchio, Castelguidone, Castiglione Messer Marino, Celenza sul Trigno, San Giovanni Lipioni"
Altre informazioni,Altre informazioni
Cod. postale,66050
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069093
Cod. catastale,L253
Targa,CH
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 464 GG[4]"
Nome abitanti,torresi
Patrono,Placido
Giorno festivo,5 ottobre
PIL,(nominale) 14 mln €[5]
PIL procapite,(nominale) 16 453 €[5]
Cartografia,Cartografia
Torrebruna,Torrebruna
Torrebruna – MappaPosizione del comune di Torrebruna all'interno della provincia di Chieti,Torrebruna – MappaPosizione del comune di Torrebruna all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
