Rapino comune,Rapino comune.1
,
Rapino – VedutaScorcio di corso Roma,Rapino – VedutaScorcio di corso Roma
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Mario Santovito (lista civica Rapino di tutti) dall'11-6-2024
Territorio,Territorio
Coordinate,42°12′39.72″N 14°11′14.49″E
Altitudine,420 m s.l.m.
Superficie,"20,3 km²"
Abitanti,1 120[1] (30-11-2025)
Densità,"55,17 ab./km²"
Frazioni,"Case Nuove, Colle Cese, Coste Micucci, Ortaglio, Piano, Pretara, Vicenne"
Comuni confinanti,"Fara Filiorum Petri, Guardiagrele, Pennapiedimonte, Pretoro, San Martino sulla Marrucina"
Altre informazioni,Altre informazioni
Cod. postale,66010
Prefisso,0871
Fuso orario,UTC+1
Codice ISTAT,069071
Cod. catastale,H184
Targa,CH
Cl. sismica,zona 1 (sismicità alta)[2]
Cl. climatica,"zona D, 1 826 GG[3]"
Nome abitanti,rapinesi
Patrono,san Lorenzo martire
Giorno festivo,10 agosto
Cartografia,Cartografia
Rapino,Rapino
Rapino – MappaPosizione del comune di Rapino all'interno della provincia di Chieti,Rapino – MappaPosizione del comune di Rapino all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
