Tornareccio comune,Tornareccio comune.1
,
Tornareccio – Veduta,Tornareccio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,"Nicola Iannone[1] (lista civica Insieme per Tornareccio ""Iannone Sindaco"") dal 26-5-2019"
Territorio,Territorio
Coordinate,42°02′N 14°25′E
Altitudine,630 m s.l.m.
Superficie,"27,53 km²"
Abitanti,1 642[2] (30-11-2025)
Densità,"59,64 ab./km²"
Frazioni,"Collecase, San Giovanni, Torricchio"
Comuni confinanti,"Archi, Atessa, Bomba, Carpineto Sinello"
Altre informazioni,Altre informazioni
Cod. postale,66046
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069092
Cod. catastale,L224
Targa,CH
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona E, 2 141 GG[4]"
Nome abitanti,tornarecciani
Patrono,santa Vittoria
Giorno festivo,23 dicembre
Cartografia,Cartografia
Tornareccio,Tornareccio
Tornareccio – MappaPosizione del comune di Tornareccio all'interno della provincia di Chieti,Tornareccio – MappaPosizione del comune di Tornareccio all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
