Castel Frentano comune,Castel Frentano comune.1
,
Castel Frentano – Veduta,Castel Frentano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Mario Verratti[1] (Lista civica Castel Frentano al Centro) dal 9-6-2024
Territorio,Territorio
Coordinate,42°12′N 14°21′E
Altitudine,399 m s.l.m.
Superficie,"21,89 km²"
Abitanti,4 171[2] (30-11-2025)
Densità,"190,54 ab./km²"
Frazioni,"Ciommi, Clementi, Colle Ceraso, Colle dell'Aia I, Colle dell'Aia II, Crocetta-Colle Grande, Feltrino, Fonte Barile, Ischia, Lentesco, Morge, Moscete, Paludi, Pera, Pietragrossa, Porrechi, San Rocco, San Vincenzo, Trastulli"
Comuni confinanti,"Guardiagrele, Lanciano, Orsogna, Sant'Eusanio del Sangro"
Altre informazioni,Altre informazioni
Cod. postale,66032
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069018
Cod. catastale,C114
Targa,CH
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 795 GG[4]"
Nome abitanti,castellini
Patrono,santo Stefano Protomartire
Giorno festivo,3 agosto
Soprannome,"Castel Frentano, Città del Bocconotto"
Cartografia,Cartografia
Castel Frentano,Castel Frentano
Castel Frentano – MappaPosizione del comune di Castel Frentano all'interno della provincia di Chieti,Castel Frentano – MappaPosizione del comune di Castel Frentano all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
