Pollutri comune,Pollutri comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Luigi Gizzarelli (lista civica Continuità per Pollutri) dal 10-6-2024
Territorio,Territorio
Coordinate,42°08′N 14°36′E
Altitudine,180 m s.l.m.
Superficie,"26,17 km²"
Abitanti,2 017[1] (30-11-2025)
Densità,"77,07 ab./km²"
Frazioni,"Civita, Crivella, Martina, Piano Croce, Piano Palme, Piano Valle, San Barbato"
Comuni confinanti,"Atessa, Casalbordino, Monteodorisio, Scerni, Vasto"
Altre informazioni,Altre informazioni
Cod. postale,66020
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069068
Cod. catastale,G799
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 505 GG[3]"
Nome abitanti,pollutresi
Patrono,san Nicola
Giorno festivo,6 dicembre
Cartografia,Cartografia
Pollutri,Pollutri
Pollutri – MappaPosizione del comune di Pollutri all'interno della provincia di Chieti,Pollutri – MappaPosizione del comune di Pollutri all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
