Villa Santa Maria comune,Villa Santa Maria comune.1
,
"Villa Santa Maria – VedutaVeduta del centro, a destra la parrocchia di San Nicola di Bari e a sinistra la chiesa della Congrega","Villa Santa Maria – VedutaVeduta del centro, a destra la parrocchia di San Nicola di Bari e a sinistra la chiesa della Congrega"
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Giuseppe Finamore[1] (lista civica Villalternativa) dal 27-5-2013 (2º mandato dal 10-6-2018)
Territorio,Territorio
Coordinate,41°57′N 14°21′E
Altitudine,336 m s.l.m.
Superficie,"16,23 km²"
Abitanti,1 079[2] (30-11-2025)
Densità,"66,48 ab./km²"
Frazioni,"Contrada Madonna in Basilica, I Pagliai, Montebello, Contrada Poggio (""La Stazione"")"
Comuni confinanti,"Atessa, Bomba, Borrello, Colledimezzo, Fallo, Montebello sul Sangro, Monteferrante, Montelapiano, Pennadomo, Pietraferrazzana, Roio del Sangro, Rosello"
Altre informazioni,Altre informazioni
Cod. postale,66047
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069102
Cod. catastale,M022
Targa,CH
Cl. sismica,zona 2 (sismicità media)[3]
Cl. climatica,"zona D, 1 676 GG[4]"
Nome abitanti,villesi
Patrono,san Nicola di Bari
Cartografia,Cartografia
Villa Santa Maria,Villa Santa Maria
Villa Santa Maria – MappaPosizione del comune di Villa Santa Maria all'interno della provincia di Chieti,Villa Santa Maria – MappaPosizione del comune di Villa Santa Maria all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
