Castiglione Messer Marino comune,Castiglione Messer Marino comune.1
,
Castiglione Messer Marino – Veduta,Castiglione Messer Marino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Silvana Di Palma (lista civica Pensiamo insieme) dal 13-6-2022
Territorio,Territorio
Coordinate,41°52′N 14°27′E
Altitudine,1 081 m s.l.m.
Superficie,"47,99 km²"
Abitanti,1 404[1] (30-11-2025)
Densità,"29,26 ab./km²"
Frazioni,"Colle Trimarino, Padulo, Sant'Egidio, Valle San Salvatore"
Comuni confinanti,"Agnone (IS), Belmonte del Sannio (IS), Carunchio, Castelguidone, Fraine, Montazzoli, Monteferrante, Roccaspinalveti, Roio del Sangro, Rosello, Schiavi di Abruzzo, Torrebruna"
Altre informazioni,Altre informazioni
Cod. postale,66033
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069020
Cod. catastale,C298
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 696 GG[3]"
Nome abitanti,Castiglionesi
Patrono,San Raffaele
Giorno festivo,11 settembre
Cartografia,Cartografia
Castiglione Messer Marino,Castiglione Messer Marino
Castiglione Messer Marino – MappaPosizione del comune di Castiglione Messer Marino all'interno della provincia di Chieti,Castiglione Messer Marino – MappaPosizione del comune di Castiglione Messer Marino all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
