Santa Maria Imbaro comune,Santa Maria Imbaro comune.1
,
Santa Maria Imbaro – VedutaSede del Municipio,Santa Maria Imbaro – VedutaSede del Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Maria Giulia Di Nunzio[1] (Lista Civica Santa Maria Imbaro di Tutti) dal 26-5-2014
Territorio,Territorio
Coordinate,42°13′N 14°27′E
Altitudine,224 m s.l.m.
Superficie,"5,71 km²"
Abitanti,2 027[2] (30-11-2025)
Densità,"354,99 ab./km²"
Frazioni,"Colli, Fattore, Pagliarini, Perilli"
Comuni confinanti,"Fossacesia, Mozzagrogna, Paglieta, Lanciano"
Altre informazioni,Altre informazioni
Cod. postale,66030
Prefisso,0872
Fuso orario,UTC+1
Codice ISTAT,069084
Cod. catastale,I244
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona D, 1 576 GG[4]"
Nome abitanti,santamarmaroli
Patrono,Madonna
Giorno festivo,4 marzo
Cartografia,Cartografia
Santa Maria Imbaro,Santa Maria Imbaro
Santa Maria Imbaro – MappaPosizione del comune di Santa Maria Imbaro all'interno della provincia di Chieti,Santa Maria Imbaro – MappaPosizione del comune di Santa Maria Imbaro all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
