Ripa Teatina comune,Ripa Teatina comune.1
,
Ripa Teatina – VedutaComplesso monumentale di Porta Gabella,Ripa Teatina – VedutaComplesso monumentale di Porta Gabella
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,"Roberto Luciani[1] (Lista civica ""RIPA per Ripa"") dal 13-6-2022"
Territorio,Territorio
Coordinate,42°21′N 14°14′E
Altitudine,199[2] m s.l.m.
Superficie,"20,16 km²"
Abitanti,3 895[3] (30-11-2025)
Densità,"193,2 ab./km²"
Frazioni,"nessuna;[4] località: Castello, Cesare Augusto, Cianchino, Colletti, Foro, Galliani, Giampaolo, Martelli, Quattro Strade, Rasiccio, Ricciuti, Rosario, Taccarelli, Tiboni, Trettornesi[2]"
Comuni confinanti,"Bucchianico, Chieti, Francavilla al Mare, Miglianico, Torrevecchia Teatina, Villamagna"
Altre informazioni,Altre informazioni
Cod. postale,66010
Prefisso,0871
Fuso orario,UTC+1
Codice ISTAT,069072
Cod. catastale,H320
Targa,CH
Cl. sismica,zona 2 (sismicità media)[5]
Cl. climatica,"zona D, 1 495 GG[6]"
Nome abitanti,"ripesi, riparoli"
Patrono,"Maria SS. del Sudore,[7] santo Stefano[8]"
Giorno festivo,"22 marzo,[7] 3 e 4 agosto[8]"
PIL,"(nominale) 63,3 mln € (2021)[9]"
PIL procapite,"(nominale) 15 900,9 € (2021)[9]"
Motto,(LA) Felix Terrae Ripae Universitas[10]
Cartografia,Cartografia
Ripa Teatina,Ripa Teatina
Ripa Teatina – MappaPosizione del comune di Ripa Teatina all'interno della provincia di Chieti,Ripa Teatina – MappaPosizione del comune di Ripa Teatina all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
