Carunchio comune,Carunchio comune.1
,
Carunchio – Veduta,Carunchio – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Gianfranco D'Isabella (Lista Civica Carunchio per le Libertà) dal 16-5-2011 (3º mandato dal 3-10-2021)
Territorio,Territorio
Coordinate,41°55′N 14°32′E
Altitudine,714 m s.l.m.
Superficie,"32,56 km²"
Abitanti,532[1] (30-11-2025)
Densità,"16,34 ab./km²"
Frazioni,"Cerreto, Pedicone"
Comuni confinanti,"Carpineto Sinello, Castiglione Messer Marino, Celenza sul Trigno, Fraine, Liscia, Palmoli, Roccaspinalveti, Torrebruna"
Altre informazioni,Altre informazioni
Cod. postale,66050
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069012
Cod. catastale,B853
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona E, 2 314 GG[3]"
Nome abitanti,carunchiesi
Patrono,sant'Antonio abate
Giorno festivo,18 agosto
Cartografia,Cartografia
Carunchio,Carunchio
Carunchio – MappaPosizione del comune di Carunchio all'interno della provincia di Chieti,Carunchio – MappaPosizione del comune di Carunchio all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
