Scerni comune,Scerni comune.1
,
Scerni – Veduta,Scerni – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,"Daniele Carlucci (lista civica ""Scerni protagonista"") dal 04-10-2021"
Territorio,Territorio
Coordinate,42°07′N 14°34′E
Altitudine,281 m s.l.m.
Superficie,"41,26 km²"
Abitanti,2 904[1] (30-11-2025)
Densità,"70,38 ab./km²"
Frazioni,"Annunziata, Bardella, Caltrucci, Cerase, Colle Breccioli, Colle Marrollo, Colle Orzo, Fontenuova, Piano dei Fiori, Ragna, San Giacomo, Torrone, Tratturo"
Comuni confinanti,"Atessa, Gissi, Monteodorisio, Pollutri"
Altre informazioni,Altre informazioni
Cod. postale,66020
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069087
Cod. catastale,I520
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 657 GG[3]"
Nome abitanti,scernesi
Patrono,san Panfilo
Giorno festivo,28 aprile
Cartografia,Cartografia
Scerni,Scerni
Scerni – MappaPosizione del comune di Scerni all'interno della provincia di Chieti,Scerni – MappaPosizione del comune di Scerni all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
