Poggiofiorito comune,Poggiofiorito comune.1
,
Poggiofiorito – VedutaPanorama da Oriente,Poggiofiorito – VedutaPanorama da Oriente
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Remo D'Alessandro (lista civica di Centro destra Un futuro per Poggiofiorito) dal 27-5-2019
Territorio,Territorio
Coordinate,42°15′N 14°19′E
Altitudine,299 m s.l.m.
Superficie,"9,95 km²"
Abitanti,757[1] (30-11-2025)
Densità,"76,08 ab./km²"
Frazioni,"Chiusa, Martorella"
Comuni confinanti,"Arielli, Crecchio, Frisa, Lanciano, Orsogna"
Altre informazioni,Altre informazioni
Cod. postale,66030
Prefisso,0871
Fuso orario,UTC+1
Codice ISTAT,069067
Cod. catastale,G760
Targa,CH
Cl. sismica,zona 2 (sismicità media)[2]
Cl. climatica,"zona D, 1 689 GG[3]"
Nome abitanti,poggesi
Patrono,san Matteo
Giorno festivo,21 settembre
Cartografia,Cartografia
Poggiofiorito,Poggiofiorito
Poggiofiorito – MappaPosizione del comune di Poggiofiorito all'interno della provincia di Chieti,Poggiofiorito – MappaPosizione del comune di Poggiofiorito all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
