Casalbordino comune,Casalbordino comune.1
,
Casalbordino – Veduta,Casalbordino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Abruzzo
Provincia,Chieti
Amministrazione,Amministrazione
Sindaco,Filippo Marinucci (centrodestra) dal 5-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,42°09′N 14°35′E
Altitudine,203 m s.l.m.
Superficie,"46,02 km²"
Abitanti,5 610[1] (30-11-2025)
Densità,"121,9 ab./km²"
Frazioni,"Boragna Lunga, Casalbordino Lido, Casecarogna, Cavalluccio, Cerreto, Fontanelle, Iannace, Leoni, Miracoli, Piana D'Alloro, Piane Sabelli, Piantonella, Ripa, Santini, Santo Stefano, Selvotti, Solagna Lunga, Termine, Usco, Verdugia, Vidorni, Villa Lanza, Villa Vecchia."
Comuni confinanti,"Atessa, Paglieta, Pollutri, Torino di Sangro, Vasto, Villalfonsina"
Altre informazioni,Altre informazioni
Cod. postale,66021
Prefisso,0873
Fuso orario,UTC+1
Codice ISTAT,069015
Cod. catastale,B865
Targa,CH
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 540 GG[3]"
Nome abitanti,casalesi
Patrono,santo Stefano
Giorno festivo,ultima domenica di giugno
PIL,"(nominale) 85,7 mln €[4]"
PIL procapite,(nominale) 14 500 €[4]
Cartografia,Cartografia
Casalbordino,Casalbordino
Casalbordino – MappaPosizione del comune di Casalbordino all'interno della provincia di Chieti,Casalbordino – MappaPosizione del comune di Casalbordino all'interno della provincia di Chieti
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
