Scandolara Ripa d'Oglio comune,Scandolara Ripa d'Oglio comune.1
,
Scandolara Ripa d'Oglio – VedutaIl castello,Scandolara Ripa d'Oglio – VedutaIl castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Mattia Federici (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°13′N 10°09′E
Altitudine,47 m s.l.m.
Superficie,"5,72 km²"
Abitanti,507[1] (30-11-2025)
Densità,"88,64 ab./km²"
Comuni confinanti,"Alfianello (BS), Corte de' Frati, Gabbioneta-Binanuova, Grontardo, Seniga (BS)"
Altre informazioni,Altre informazioni
Cod. postale,26047
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019093
Cod. catastale,I498
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,Scandolaresi
Cartografia,Cartografia
Scandolara Ripa d'Oglio,Scandolara Ripa d'Oglio
Scandolara Ripa d'Oglio – MappaPosizione del comune di Scandolara Ripa d'Oglio nella provincia di Cremona,Scandolara Ripa d'Oglio – MappaPosizione del comune di Scandolara Ripa d'Oglio nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
