Ostiano comune,Ostiano comune.1
,
Ostiano – Veduta,Ostiano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Canzio Posio (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°13′N 10°15′E
Altitudine,43 m s.l.m.
Superficie,"19,49 km²"
Abitanti,2 827[1] (30-11-2025)
Densità,"145,05 ab./km²"
Comuni confinanti,"Gabbioneta-Binanuova, Gambara (BS), Pessina Cremonese, Pralboino (BS), Seniga (BS), Volongo"
Altre informazioni,Altre informazioni
Cod. postale,26032
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019064
Cod. catastale,G185
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,ostianesi
Cartografia,Cartografia
Ostiano,Ostiano
Ostiano – MappaPosizione del comune di Ostiano nella provincia di Cremona,Ostiano – MappaPosizione del comune di Ostiano nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
