Quintano comune,Quintano comune.1
,
Quintano – VedutaLa chiesa parrocchiale,Quintano – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Elisa Guercilena (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°25′N 9°37′E
Altitudine,91 m s.l.m.
Superficie,"2,86 km²"
Abitanti,931[1] (30-11-2025)
Densità,"325,52 ab./km²"
Comuni confinanti,"Capralba, Casaletto Vaprio, Pieranica, Torlino Vimercati, Trescore Cremasco"
Altre informazioni,Altre informazioni
Cod. postale,26017
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019078
Cod. catastale,H130
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,quintanesi
Patrono,san Pietro
Cartografia,Cartografia
Quintano,Quintano
Quintano – MappaPosizione del comune di Quintano nella provincia di Cremona,Quintano – MappaPosizione del comune di Quintano nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
