Cappella de' Picenardi comune,Cappella de' Picenardi comune.1
,
Cappella de' Picenardi – Veduta,Cappella de' Picenardi – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Raffaele Leni (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°09′34″N 10°13′52″E
Altitudine,42 m s.l.m.
Superficie,"14,2 km²"
Abitanti,423[1] (30-11-2025)
Densità,"29,79 ab./km²"
Frazioni,"Cansero, Dosso Pallavicino, Isolello, Mottaiola, Vighizzolo"
Comuni confinanti,"Cicognolo, Derovere, Pescarolo ed Uniti, Pessina Cremonese, Pieve San Giacomo, Torre de' Picenardi"
Altre informazioni,Altre informazioni
Cod. postale,26030
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019014
Cod. catastale,B680
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,cappellini
Patrono,Sant'Agata
Cartografia,Cartografia
Cappella de' Picenardi,Cappella de' Picenardi
Cappella de' Picenardi – MappaPosizione del comune di Cappella de' Picenardi nella provincia di Cremona,Cappella de' Picenardi – MappaPosizione del comune di Cappella de' Picenardi nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
