Casaletto Ceredano comune,Casaletto Ceredano comune.1
,
Casaletto Ceredano – Veduta,Casaletto Ceredano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Aldo Casorati (lista civica) dal 7-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°19′N 9°37′E
Altitudine,65 m s.l.m.
Superficie,"6,52 km²"
Abitanti,1 172[1] (30-11-2025)
Densità,"179,75 ab./km²"
Frazioni,"Cà de' Vagni, Gerre, Passarera Corte, Persia"
Comuni confinanti,"Abbadia Cerreto (LO), Capergnanica, Cavenago d'Adda (LO), Chieve, Credera Rubbiano"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019018
Cod. catastale,B889
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,casalettesi
Patrono,san Pietro Martire
Giorno festivo,prima domenica di maggio
Cartografia,Cartografia
Casaletto Ceredano,Casaletto Ceredano
Casaletto Ceredano – MappaPosizione del comune di Casaletto Ceredano nella provincia di Cremona,Casaletto Ceredano – MappaPosizione del comune di Casaletto Ceredano nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
