Spino d'Adda comune,Spino d'Adda comune.1
,
Spino d'Adda – Veduta,Spino d'Adda – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Enzo Galbiati [1] (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°24′N 9°30′E
Altitudine,84 m s.l.m.
Superficie,"20,02 km²"
Abitanti,7 012[2] (30-11-2025)
Densità,"350,25 ab./km²"
Comuni confinanti,"Boffalora d'Adda (LO), Dovera, Merlino (LO), Pandino, Rivolta d'Adda, Zelo Buon Persico (LO)"
Altre informazioni,Altre informazioni
Cod. postale,26016
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019102
Cod. catastale,I914
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 557 GG[4]"
Nome abitanti,spinesi
Patrono,san Giacomo
Giorno festivo,25 luglio
Cartografia,Cartografia
Spino d'Adda,Spino d'Adda
Spino d'Adda – MappaPosizione del comune di Spino d'Adda nella provincia di Cremona,Spino d'Adda – MappaPosizione del comune di Spino d'Adda nella provincia di Cremona
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
