Casalbuttano ed Uniti comune,Casalbuttano ed Uniti comune.1
,
Casalbuttano ed Uniti – Veduta,Casalbuttano ed Uniti – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Gian Paolo Bandera (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°15′N 9°58′E
Altitudine,60 m s.l.m.
Superficie,"22,88 km²"
Abitanti,3 797[1] (30-11-2025)
Densità,"165,95 ab./km²"
Frazioni,"Polengo, San Vito"
Comuni confinanti,"Bordolano, Casalmorano, Castelverde, Castelvisconti, Corte de' Cortesi con Cignone, Olmeneta, Paderno Ponchielli, Pozzaglio ed Uniti"
Altre informazioni,Altre informazioni
Cod. postale,26011
Prefisso,0374
Fuso orario,UTC+1
Codice ISTAT,019016
Cod. catastale,B869
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,casalbuttanesi
Patrono,san Giorgio
Cartografia,Cartografia
Casalbuttano ed Uniti,Casalbuttano ed Uniti
Casalbuttano ed Uniti – MappaPosizione del comune di Casalbuttano ed Uniti nella provincia di Cremona,Casalbuttano ed Uniti – MappaPosizione del comune di Casalbuttano ed Uniti nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
