Calvatone comune,Calvatone comune.1
,
Calvatone – VedutaChiesa parrocchiale,Calvatone – VedutaChiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Valeria Patelli (lista civica) dal 26-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°08′N 10°27′E
Altitudine,29 m s.l.m.
Superficie,"13,7 km²"
Abitanti,1 133[1] (30-11-2025)
Densità,"82,7 ab./km²"
Comuni confinanti,"Acquanegra sul Chiese (MN), Bozzolo (MN), Canneto sull'Oglio (MN), Piadena Drizzona, Tornata"
Altre informazioni,Altre informazioni
Cod. postale,26030
Prefisso,0375
Fuso orario,UTC+1
Codice ISTAT,019009
Cod. catastale,B439
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 388 GG[3]"
Nome abitanti,calvatonesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Calvatone,Calvatone
Calvatone – MappaPosizione del comune di Calvatone nella provincia di Cremona,Calvatone – MappaPosizione del comune di Calvatone nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
