Cumignano sul Naviglio comune,Cumignano sul Naviglio comune.1
,
Cumignano sul Naviglio – VedutaVeduta dal Naviglio,Cumignano sul Naviglio – VedutaVeduta dal Naviglio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Aldo Assandri (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°21′N 9°50′E
Altitudine,73 m s.l.m.
Superficie,"6,77 km²"
Abitanti,410[1] (30-11-2025)
Densità,"60,56 ab./km²"
Comuni confinanti,"Genivolta, Salvirola, Soncino, Soresina, Ticengo, Trigolo"
Altre informazioni,Altre informazioni
Cod. postale,26020
Prefisso,0374
Fuso orario,UTC+1
Codice ISTAT,019039
Cod. catastale,D203
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 403 GG[3]"
Nome abitanti,cumignanesi
Patrono,san Giorgio Martire
Giorno festivo,23 aprile
Cartografia,Cartografia
Cumignano sul Naviglio,Cumignano sul Naviglio
Cumignano sul Naviglio – MappaPosizione del comune di Cumignano sul Naviglio nella provincia di Cremona,Cumignano sul Naviglio – MappaPosizione del comune di Cumignano sul Naviglio nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
