Vaiano Cremasco comune,Vaiano Cremasco comune.1
,
Vaiano Cremasco – Veduta,Vaiano Cremasco – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Graziano Baldassarre[1] (lista civica di centro-destra) dal 15-5-2023[1]
Territorio,Territorio
Coordinate,45°22′23″N 9°35′18″E
Altitudine,82 m s.l.m.
Superficie,"6,15 km²"
Abitanti,3 608[2] (30-11-2025)
Densità,"586,67 ab./km²"
Comuni confinanti,"Bagnolo Cremasco, Crespiatica (LO), Monte Cremasco, Palazzo Pignano"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019111
Cod. catastale,L535
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 557 GG[4]"
Nome abitanti,vaianesi
Patrono,santi Cornelio e Cipriano
Giorno festivo,16 settembre
Cartografia,Cartografia
Vaiano Cremasco,Vaiano Cremasco
Vaiano Cremasco – MappaPosizione del comune di Vaiano Cremasco nella provincia di Cremona,Vaiano Cremasco – MappaPosizione del comune di Vaiano Cremasco nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
