Dovera comune,Dovera comune.1
,
Dovera – Veduta,Dovera – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Paolo Mirko Signoroni (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°22′N 9°32′E
Altitudine,73 m s.l.m.
Superficie,"20,65 km²"
Abitanti,3 732[1] (30-11-2025)
Densità,"180,73 ab./km²"
Frazioni,"Barbuzzera, Postino, Roncadello, San Rocco"
Comuni confinanti,"Boffalora d'Adda (LO), Corte Palasio (LO), Crespiatica (LO), Lodi (LO), Monte Cremasco, Pandino, Spino d'Adda"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019041
Cod. catastale,D358
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,doveresi
Patrono,san Lorenzo
Cartografia,Cartografia
Dovera,Dovera
Dovera – MappaPosizione del comune di Dovera nella provincia di Cremona,Dovera – MappaPosizione del comune di Dovera nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
