San Bassano comune,San Bassano comune.1
,
San Bassano – Veduta,San Bassano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Giuseppe Papa (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°14′38″N 9°48′32″E
Altitudine,59 m s.l.m.
Superficie,"13,93 km²"
Abitanti,2 053[1] (30-11-2025)
Densità,"147,38 ab./km²"
Frazioni,Ferie
Comuni confinanti,"Cappella Cantone, Castelleone, Formigara, Gombito, Pizzighettone"
Altre informazioni,Altre informazioni
Cod. postale,26020
Prefisso,0374
Fuso orario,UTC+1
Codice ISTAT,019088
Cod. catastale,H767
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,sanbassanesi
Patrono,"San Martino di Tours, San Bassiano"
Cartografia,Cartografia
San Bassano,San Bassano
San Bassano – MappaPosizione del comune di San Bassano nella provincia di Cremona,San Bassano – MappaPosizione del comune di San Bassano nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
