Gabbioneta-Binanuova comune,Gabbioneta-Binanuova comune.1
,
Gabbioneta-Binanuova – Veduta,Gabbioneta-Binanuova – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Antonio Bonazzoli (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°13′N 10°13′E
Altitudine,38 m s.l.m.
Superficie,"15,71 km²"
Abitanti,859[1] (30-11-2025)
Densità,"54,68 ab./km²"
Frazioni,"Binanuova, Gabbioneta (sede comunale)"
Comuni confinanti,"Grontardo, Ostiano, Pescarolo ed Uniti, Pessina Cremonese, Scandolara Ripa d'Oglio, Seniga (BS)"
Altre informazioni,Altre informazioni
Cod. postale,26030
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019045
Cod. catastale,D834
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,"Gabbionetesi, Binesi"
Patrono,sant'Ambrogio (Gabbioneta); san Nicola di Bari e san Martino (Binanuova)
Cartografia,Cartografia
Gabbioneta-Binanuova,Gabbioneta-Binanuova
Gabbioneta-Binanuova – MappaPosizione del comune di Gabbioneta-Binanuova nella provincia di Cremona,Gabbioneta-Binanuova – MappaPosizione del comune di Gabbioneta-Binanuova nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
