Vescovato comune,Vescovato comune.1
,
Vescovato – VedutaVista aerea di Vescovato,Vescovato – VedutaVista aerea di Vescovato
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Alfredo Gorni (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°10′N 10°10′E
Altitudine,46 m s.l.m.
Superficie,"17,44 km²"
Abitanti,3 989[1] (30-11-2025)
Densità,"228,73 ab./km²"
Frazioni,"Cà de' Sfondrati, Cà de' Stefani, Montanara"
Comuni confinanti,"Cicognolo, Gadesco-Pieve Delmona, Grontardo, Malagnino, Pescarolo ed Uniti, Pieve San Giacomo, Sospiro"
Altre informazioni,Altre informazioni
Cod. postale,26039
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019113
Cod. catastale,L806
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,vescovatini
Patrono,San Leonardo
Giorno festivo,6 novembre /13 novembre
Cartografia,Cartografia
Vescovato,Vescovato
Vescovato – MappaPosizione del comune di Vescovato nella provincia di Cremona,Vescovato – MappaPosizione del comune di Vescovato nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
