Pessina Cremonese comune,Pessina Cremonese comune.1
,
Pessina Cremonese – Veduta,Pessina Cremonese – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Odelio Pari (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°11′N 10°15′E
Altitudine,42 m s.l.m.
Superficie,"22,02 km²"
Abitanti,572[1] (30-11-2025)
Densità,"25,98 ab./km²"
Frazioni,"Monticelli Ripa d'Oglio, Cà de' Ferrari, Gerazza, Sant'Antonio d'Anniata, Stilo de' Mariani, Villarocca"
Comuni confinanti,"Cappella de' Picenardi, Gabbioneta-Binanuova, Isola Dovarese, Ostiano, Pescarolo ed Uniti, Torre de' Picenardi, Volongo"
Altre informazioni,Altre informazioni
Cod. postale,26030
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019070
Cod. catastale,G504
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,pessinesi
Cartografia,Cartografia
Pessina Cremonese,Pessina Cremonese
Pessina Cremonese – MappaPosizione del comune di Pessina Cremonese nella provincia di Cremona,Pessina Cremonese – MappaPosizione del comune di Pessina Cremonese nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
