Robecco d'Oglio comune,Robecco d'Oglio comune.1
,
"Robecco d'Oglio – VedutaVilla Barni Della Scala, Municipio di Robecco d'Oglio di costruzione seicentesca.","Robecco d'Oglio – VedutaVilla Barni Della Scala, Municipio di Robecco d'Oglio di costruzione seicentesca."
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Marco Romeo Pipperi[1] (lista civica) dal 15-5-2023
Territorio,Territorio
Coordinate,45°16′N 10°05′E
Altitudine,48 m s.l.m.
Superficie,"17,96 km²"
Abitanti,2 250[2] (30-11-2025)
Densità,"125,28 ab./km²"
Frazioni,"Monasterolo, Gallarano"
Comuni confinanti,"Corte de' Cortesi con Cignone, Corte de' Frati, Olmeneta, Pontevico (BS), Verolavecchia (BS)"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019085
Cod. catastale,H372
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 479 GG[4]"
Nome abitanti,robecchesi
Patrono,san Biagio
Giorno festivo,3 febbraio
Cartografia,Cartografia
Robecco d'Oglio,Robecco d'Oglio
Robecco d'Oglio – MappaPosizione del comune di Robecco d'Oglio nella provincia di Cremona,Robecco d'Oglio – MappaPosizione del comune di Robecco d'Oglio nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
