Credera-Rubbiano comune,Credera-Rubbiano comune.1
,
Credera-Rubbiano – VedutaPiazza di Credera,Credera-Rubbiano – VedutaPiazza di Credera
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Francesca Cerasola (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,45°18′10.84″N 9°39′17.93″E
Altitudine,69 m s.l.m.
Superficie,"14,13 km²"
Abitanti,1 476[1] (30-11-2025)
Densità,"104,46 ab./km²"
Frazioni,"Cascine San Carlo, Rovereto, Rubbiano"
Comuni confinanti,"Capergnanica, Casaletto Ceredano, Moscazzano, Ripalta Cremasca"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019034
Cod. catastale,D141
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 505 GG[3]"
Nome abitanti,crederesi
Patrono,san Donnino (a Credera) santi Faustino e Giovita (a Rovereto) e santa Maria Maddalena (a Rubbiano)
Cartografia,Cartografia
Credera-Rubbiano,Credera-Rubbiano
Credera-Rubbiano – MappaPosizione del comune di Credera Rubbiano nella provincia di Cremona,Credera-Rubbiano – MappaPosizione del comune di Credera Rubbiano nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
