Ripalta Guerina comune,Ripalta Guerina comune.1
,
Ripalta Guerina – Veduta,Ripalta Guerina – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Luca Giovanni Guerini (lista civica) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°18′24.07″N 9°42′16.94″E
Altitudine,67 m s.l.m.
Superficie,"2,97 km²"
Abitanti,540[1] (30-11-2025)
Densità,"181,82 ab./km²"
Comuni confinanti,"Montodine, Moscazzano, Ripalta Arpina, Ripalta Cremasca"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019082
Cod. catastale,H316
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 474 GG[3]"
Nome abitanti,guerinesi o ripaltesi[4]
Patrono,san Gottardo
Giorno festivo,4 maggio
Cartografia,Cartografia
Ripalta Guerina,Ripalta Guerina
Ripalta Guerina – MappaPosizione del comune di Ripalta Guerina nella provincia di Cremona,Ripalta Guerina – MappaPosizione del comune di Ripalta Guerina nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
