Spineda comune,Spineda comune.1
,
Spineda – VedutaChiesa parrocchiale di San Salvatore,Spineda – VedutaChiesa parrocchiale di San Salvatore
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Fabrizio Bonfatti Sabbioni (lista civica) dal 27-5-2019 (2º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°03′41.04″N 10°30′41.94″E
Altitudine,25 m s.l.m.
Superficie,"10,11 km²"
Abitanti,610[1] (30-11-2025)
Densità,"60,34 ab./km²"
Comuni confinanti,"Commessaggio (MN), Gazzuolo (MN), Rivarolo del Re ed Uniti, Rivarolo Mantovano (MN), Sabbioneta (MN), San Martino dall'Argine (MN)"
Altre informazioni,Altre informazioni
Cod. postale,26030
Prefisso,0376
Fuso orario,UTC+1
Codice ISTAT,019101
Cod. catastale,I909
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 388 GG[3]"
Nome abitanti,spinedesi
Cartografia,Cartografia
Spineda,Spineda
Spineda – MappaPosizione del comune di Spineda nella provincia di Cremona,Spineda – MappaPosizione del comune di Spineda nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
