Torlino Vimercati comune,Torlino Vimercati comune.1
,
Torlino Vimercati – Veduta,Torlino Vimercati – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Giuseppe Figoni (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°25′N 9°36′E
Altitudine,88 m s.l.m.
Superficie,"5,77 km²"
Abitanti,450[1] (30-11-2025)
Densità,"77,99 ab./km²"
Frazioni,Azzano
Comuni confinanti,"Agnadello, Capralba, Palazzo Pignano, Pieranica, Quintano, Trescore Cremasco, Vailate"
Altre informazioni,Altre informazioni
Cod. postale,26017
Prefisso,0373
Fuso orario,UTC+1
Codice ISTAT,019105
Cod. catastale,L221
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 557 GG[3]"
Nome abitanti,torlinesi
Patrono,Sant'Ambrogio
Giorno festivo,7 dicembre
Cartografia,Cartografia
Torlino Vimercati,Torlino Vimercati
Torlino Vimercati – MappaPosizione del comune di Torlino Vimercati nella provincia di Cremona,Torlino Vimercati – MappaPosizione del comune di Torlino Vimercati nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
