San Daniele Po comune,San Daniele Po comune.1
,
San Daniele Po – VedutaChiesa Parrocchiale,San Daniele Po – VedutaChiesa Parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Simone Cadenazzi[1] (lista civica) dal 26-5-2025
Territorio,Territorio
Coordinate,45°04′N 10°11′E
Altitudine,33 m s.l.m.
Superficie,"22,69 km²"
Abitanti,1 299[2] (30-11-2025)
Densità,"57,25 ab./km²"
Frazioni,"Isola Pescaroli, Sommo con Porto, Santa Margherita, Solarolo Paganino"
Comuni confinanti,"Cella Dati, Motta Baluffi, Pieve d'Olmi, Roccabianca (PR), Sospiro, Polesine Zibello (PR)"
Altre informazioni,Altre informazioni
Cod. postale,26046
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019089
Cod. catastale,H815
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 389 GG[4]"
Nome abitanti,sandanielesi
Patrono,sant'Omobono
Giorno festivo,13 novembre
Cartografia,Cartografia
San Daniele Po,San Daniele Po
San Daniele Po – MappaPosizione del comune di San Daniele Po nella provincia di Cremona,San Daniele Po – MappaPosizione del comune di San Daniele Po nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
