Castelvisconti comune,Castelvisconti comune.1
,
Castelvisconti – VedutaIl municipio,Castelvisconti – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Alberto Sisti (lista civica) dall'8-6-2009 (4º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°18′N 9°56′E
Altitudine,66 m s.l.m.
Superficie,"9,76 km²"
Abitanti,302[1] (30-11-2025)
Densità,"30,94 ab./km²"
Frazioni,Campagna
Comuni confinanti,"Azzanello, Bordolano, Borgo San Giacomo (BS), Casalbuttano ed Uniti, Casalmorano, Quinzano d'Oglio (BS)"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0374
Fuso orario,UTC+1
Codice ISTAT,019027
Cod. catastale,C290
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,castelviscontesi
Patrono,santa Maria Nascente della Scala
Giorno festivo,8 settembre
Cartografia,Cartografia
Castelvisconti,Castelvisconti
Castelvisconti – MappaPosizione del comune di Castelvisconti nella provincia di Cremona,Castelvisconti – MappaPosizione del comune di Castelvisconti nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
