Pozzaglio e Uniti comune,Pozzaglio e Uniti comune.1
,
Localizzazione,Localizzazione
Stato,Italia
Regione,Lombardia
Provincia,Cremona
Amministrazione,Amministrazione
Sindaco,Biondo Caruccio (lista civica) dal 12-6-2017 (2º mandato dal 12-6-2022)
Territorio,Territorio
Coordinate,45°12′N 10°03′E
Altitudine,50 m s.l.m.
Superficie,"20,4 km²"
Abitanti,1 421[1] (30-11-2025)
Densità,"69,66 ab./km²"
Frazioni,"Villanova Alghisi, Brazzuoli, Casalsigone, Castelnuovo Gherardi, Solarolo del Persico"
Comuni confinanti,"Casalbuttano ed Uniti, Castelverde, Corte de' Frati, Olmeneta, Persico Dosimo"
Altre informazioni,Altre informazioni
Cod. postale,26010
Prefisso,0372
Fuso orario,UTC+1
Codice ISTAT,019077
Cod. catastale,B914
Targa,CR
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 389 GG[3]"
Nome abitanti,pozzagliesi
Patrono,San Lorenzo
Cartografia,Cartografia
Pozzaglio e Uniti,Pozzaglio e Uniti
Pozzaglio e Uniti – MappaPosizione del comune di Pozzaglio ed Uniti nella provincia di Cremona,Pozzaglio e Uniti – MappaPosizione del comune di Pozzaglio ed Uniti nella provincia di Cremona
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
